x,Location,Roll_No,Photo_No,Scale,Latitude,Longitude,Proj_No,Photo_Date,County,Obtained_from_Where,,,,mxd,Photo_Year
231,Jacksons Point,RA24,55,,,,3628-001,8/24/29,York,NEODF-Cat/NAPL,,,,237,8/24/29
232,Jacksons Point,A18785,53,,,,3628-001,6/02/65,York,NEODF-Cat/NAPL,,,,238,6/02/65
233,Bridgenorth,A1051,25,"20,000",,,3520-001,10/29/05,Peterborough,NEODF-Cat/NAPL,,,,239,10/29/05
234,Bridgenorth,A16868,15,"30,000",,,3520-001,10/21/59,Peterborough,NEODF-Cat/NAPL,,,,240,10/21/59
235,Bridgenorth,A24864,47,"25,000",,,3520-001,5/25/78,Peterborough,NEODF-Cat/NAPL,,,,241,5/25/78
236,Trenton,A1972,78,"4,000",,,3694-001,10/18/29,Hastings,NEODF-Cat/NAPL,,,,242,10/18/29
237,Omemee,A177,23,"20,000",,,3705-001,2/28/07,Kawartha Lakes,NEODF-Cat/NAPL,,,,243,2/28/07
238,Omemee,A18320,16,"20,000",,,3705-001,10/16/64,Kawartha Lakes,NEODF-Cat/NAPL,,,,244,10/16/64
239,Whitby,RA32,23,"15,000",,,3737-001,8/27/09,Durham,NEODF-Cat/NAPL,,,,245,8/27/09
240,Whitby,A10115,52,"20,000",,,3737-001,7/02/46,Durham,NEODF-Cat/NAPL,,,,246,7/02/46
241,Whitby,A18588,104,"20,000",,,3737-001,8/05/64,Durham,NEODF-Cat/NAPL,,,,247,8/05/64
242,Whitby,A31404,66,"40,000",,,3737-001,7/18/85,Durham,NEODF-Cat/NAPL,,,,248,7/18/85
243,Whitby,RA23,85,"15,000",,,3737-001,8/24/27,Durham,NEODF-Cat/NAPL,,,,249,8/24/27
244,Whitby,A27302,22,"50,000",,,3737-001,6/18/88,Durham,NEODF-Cat/NAPL,,,,250,6/18/88
245,Little Britain,RA42,41,"15,000",,,3886-001,1927,Kawartha Lakes,Opta,,,,251,1927
246,Little Britain,A18859,29,"25,000",,,3886-001,1965,Kawartha Lakes,Opta,,,,252,1965
247,Little Britain,A25686,78,"50,000",,,3886-001,1981,Kawartha Lakes,Opta,,,,253,1981
248,Alliston,A986,59,"7,000",,,3902-001,6/29/02,Simcoe,NEODF-Cat/NAPL,,,,255,6/29/02
249,Alliston,A15102,97,"25,000",,,3902-001,10/09/55,Simcoe,NEODF-Cat/NAPL,,,,256,10/09/55
250,Alliston,A24287,54,"40,000",,,3902-001,10/28/75,Simcoe,NEODF-Cat/NAPL,,,,257,10/28/75
251,Alliston,A25672,55,"50,000",,,3902-001,4/15/81,Simcoe,NEODF-Cat/NAPL,,,,258,4/15/81
252,Alliston,A28173,104,"50,000",,,3902-001,4/15/95,Simcoe,NEODF-Cat/NAPL,,,,259,4/15/95
253,Alliston,,,,,,,1/01/49,,,,,,260,1/01/49
254,Alliston_ERROR,_ERROR,_ERROR,_ERROR,_ERROR,_ERROR,_ERROR,1/01/49,_ERROR,,,,,261,1/01/49
255,Omemee,A208,91,"20,000",,,4054-001,6/28/07,Kawartha Lakes,NEODF-Cat/NAPL,,,,262,6/28/07
256,Omemee,A18327,74,"20,000",,,4054-001,5/14/65,Kawartha Lakes,NEODF-Cat/NAPL,,,,263,5/14/65
257,Omemee,A25686,85,"50,000",,,4054-001,4/30/81,Kawartha Lakes,NEODF-Cat/NAPL,,,,264,4/30/81
258,Bowmanville,RA42,85,"15,000",,,4271-001,9/16/27,Clarington,NEODF-Cat/NAPL,,,,265,9/16/27
259,Bowmanville,A18587,67,"20,000",,,4271-002,8/06/64,Clarington,NEODF-Cat/NAPL,,,,266,8/06/64
260,Bowmanville,A25648,126,"25,000",,,4271-003,3/28/81,Clarington,NEODF-Cat/NAPL,,,,267,3/28/81
261,Peterborough Airport,A211,39,"20,000",,,4240-001,7/28/07,Peterborough,NEODF-Cat/NAPL,,,,268,7/28/07
262,Peterborough Airport,A13111,239,"20,000",,,4240-001,4/27/51,Peterborough,NEODF-Cat/NAPL,,,,269,4/27/51
263,Peterborough Airport,A16871,121,"30,000",,,4240-001,10/21/59,Peterborough,NEODF-Cat/NAPL,,,,270,10/21/59
264,Peterborough Airport,A18755,123,"20,000",,,4240-001,4/29/64,Peterborough,NEODF-Cat/NAPL,,,,271,4/29/64
265,Peterborough Airport,A23464,32,"25,000",,,4240-001,7/30/73,Peterborough,NEODF-Cat/NAPL,,,,272,7/30/73
266,Toronto,A12501,72,"10,000",,,4333-001,5/30/50,City of Toronto,NEODF-Cat/NAPL,,,,273,5/30/50
267,Toronto,A25451,75,"25,000",,,4333-001,5/26/80,City of Toronto,NEODF-Cat/NAPL,,,,274,5/26/80
268,Bobcaygeon,A4813,37,"15,000",,,4328-001,10/01/34,City of Kawartha Lakes,NEODF-Cat/NAPL,,,,275,10/01/34
269,Bobcaygeon,A18773,20,"15,000",,,4328-002,5/15/64,City of Kawartha Lakes,NEODF-Cat/NAPL,,,,276,5/15/64
270,Bobcaygeon,A25691,33,"50,000",,,4328-003,5/04/81,City of Kawartha Lakes,NEODF-Cat/NAPL,,,,277,5/04/81
271,Bobcaygeon,A28173,184,"50,000",,,4328-004,4/15/95,City of Kawartha Lakes,NEODF-Cat/NAPL,,,,278,4/15/95
272,Cobourg,A3250,94,"15,000",,,4367-001,4/14/31,Northumberland County,ERIS,,,,279,4/14/31
273,Cobourg,A18742,6,"20,000",,,4367-002,4/29/65,Northumberland County,ERIS,,,,280,4/29/65
274,Cobourg,A26996,90,"9,000",,,4367-003,8/20/86,Northumberland County,ERIS,,,,281,8/20/86
275,Petersburg,A9196,1,"20,000",,,4440-001,9/03/45,Waterloo,Opta,,,,282,9/03/45
276,Petersburg,A18347,132,"20,000",,,4440-001,5/03/64,Waterloo,Opta,,,,283,5/03/64
277,Cambridge,A18346,6,"20,000",,,4441-001,5/03/64,Waterloo,Opta,,,,284,5/03/64
278,Cambridge,A28250,146,"20,000",,,4441-001,10/01/95,Waterloo,Opta,,,,285,10/01/95
279,Chatham,A17641,59,"15,000",,,4441-001,4/29/62,Chatham-Kent,Opta,,,,286,4/29/62
280,Oldcastle,A13595,77,"25,000",,,4441-001,4/08/53,Essex,Opta,,,,287,4/08/53
281,Oldcastle,A25145,96,"25,000",,,4441-001,6/18/79,Essex,Opta,,,,288,6/18/79
282,Bailieboro,A13111,141,"20,000",,,4229-001,4/27/51,Peterborough,NEODF-Cat/NAPL,,,,289,4/27/51
283,Oshawa,RA48,13,"15,000",,,4468-001,10/23/27,Durham,NEODF-Cat/NAPL,,,,290,10/23/27
284,Oshawa,A13997,117,"20,000",,,4468-001,5/24/54,Durham,NEODF-Cat/NAPL,,,,291,5/24/54
285,Oshawa,A26198,13,"20,000",,,4468-001,11/02/82,Durham,NEODF-Cat/NAPL,,,,292,11/02/82
286,Mississauga,,,"5,000",,,4491-001,6/01/75,Peel,Mississauga eMaps,,,,293,6/01/75
287,Mississauga,,,"5,000",,,4491-001,6/01/85,Peel,Mississauga eMaps,,,,294,6/01/85
288,Mississauga,,,"5,000",,,4491-001,2001-06-06,Peel,Mississauga eMaps,,,,295,2001-06-06
289,Mississauga,,,"5,000",,,4491-001,1/15/06,Peel,Mississauga eMaps,,,,296,1/15/06
290,Oshawa,RA34,76,"15,000",,,4537-001,9/27/09,Durham,NEODF-Cat/NAPL,,,,297,9/27/09
291,Oshawa,A23674,209,"6,000",,,4537-001,5/02/74,Durham,NEODF-Cat/NAPL,,,,298,5/02/74
292,Oshawa,A13997,79,"20,000",,,4563-001,5/24/54,Durham,Opta,,,,299,5/24/54
293,Oshawa,A28251,27,"20,000",,,4563-001,10/17/95,Durham,Opta,,,,300,10/17/95
294,Peterborough,A1051,36,"20,000",,,4643-001,5/29/10,Peterborough,NEODF-Cat/NAPL,,,,301,5/29/10
295,Whitby,RA23,68,"15,000",,,4575-001,8/24/27,Durham,NEODF-Cat/NAPL,,,,302,8/24/27
296,Whitby,A10116,3,"20,000",,,4575-001,7/02/46,Durham,NEODF-Cat/NAPL,,,,303,7/02/46
297,Whitby,A18587,79,"20,000",,,4575-001,7/02/64,Durham,NEODF-Cat/NAPL,,,,304,7/02/64
298,Whitby,A25646,21,"25,000",,,4575-001,3/26/81,Durham,NEODF-Cat/NAPL,,,,305,3/26/81
299,Ajax,RA29,61,"15,000",,,4727-001,5/27/09,Durham,PADA,,,,306,5/27/09
300,Ajax,A18587,3,"20,000",,,4727-001,8/06/64,Durham,Ecolog,,,,307,8/06/64
301,Ajax,A22630,154,"15,000",,,4727-001,4/28/72,Durham,PADA,,,,308,4/28/72
302,Guelph,A2124,37,"20,000",,,4625-001,4/29/30,Wellington County,NEODF-Cat/NAPL,,,,309,4/29/30
303,Guelph,A18270,226,"20,000",,,4625-001,4/12/64,Wellington County,NEODF-Cat/NAPL,,,,310,4/12/64
304,Guelph,A25648,17,"25,000",,,4625-001,3/28/81,Wellington County,NEODF-Cat/NAPL,,,,311,3/28/81
305,Guelph,A28251,10,"20,000",,,4625-001,10/17/95,Wellington County,NEODF-Cat/NAPL,,,,312,10/17/95
306,Bancroft,A27996,122,"50,000",,,4747-001,11/18/93,Hastings,NEODF-Cat/NAPL,,,,313,11/18/93
307,Ajax,A11321,43,"8,000",,,4729-001,5/19/47,Durham,NEODF-Cat/NAPL,,,,314,5/19/47
308,Oshawa,A13997,80,"20,000",,,4663-001,5/24/54,Durham,OPTA,,,,315,5/24/54
309,Oshawa,A23679,92,"25,000",,,4663-001,5/04/74,Durham,OPTA,,,,316,5/04/74
310,Toronto,,,,,,4738-001,1/01/47,Toronto,City of Toronto Archives,,,,317,1/01/47
311,Toronto,,,,,,4738-001,1/01/59,Toronto,City of Toronto Archives,,,,318,1/01/59
312,Toronto,,,,,,4738-001,1/01/76,Toronto,City of Toronto Archives,,,,319,1/01/76
313,Oshawa,A23674,57,"6,000",,,4733-001,5/02/74,Durham,NEODF-Cat/NAPL,,,,320,5/02/74
314,Oshawa,A28251,26,"20,000",,,4733-001,10/17/95,Durham,NEODF-Cat/NAPL,,,,321,10/17/95
315,Oshawa,A13997,190,"20,000",,,4791-001,5/24/54,Durham,NEODF-Cat/NAPL,,,,322,5/24/54
316,Bowmanville,A18587,17,"20,000",,,4734-001,8/06/64,Durham,NEODF-Cat/NAPL,,,,323,8/06/64
317,Bowmanville,A25648,86,"25,000",,,4734-001,3/28/81,Durham,NEODF-Cat/NAPL,,,,324,3/28/81
318,Bowmanville,A16867,59,"30,000",,,4867-001,10/21/59,Durham,NEODF-Cat/NAPL,,,,325,10/21/59
319,Zephyr,RA26,22,"15,000",,,3341-001,2/27/09,Durham,NEODF-Cat/NAPL,,,,326,2/27/09
320,Zephyr,A16872,11,"30,000",,,3341-001,10/21/59,Durham,NEODF-Cat/NAPL,,,,327,10/21/59
321,Zephyr,A24314,177,"50,000",,,3341-001,4/12/76,Durham,NEODF-Cat/NAPL,,,,328,4/12/76
322,Zephyr,A28173,79,"50,000",,,3341-001,4/15/95,Durham,NEODF-Cat/NAPL,,,,329,4/15/95
323,Madoc,A2017,88,"15,000",,,4851-001,10/28/29,Hastings,Ecolog,,,,330,10/28/29
324,,A18069,46,"15,000",,,4851-001,6/03/63,Hastings,Ecolog,,,,331,6/03/63
325,Huntsville,A21008,108,"40,000",,,4967-001,6/10/69,Muskoka,NEODF-Cat/NAPL,,,,332,6/10/69
326,Huntsville,A26298,27,"50,000",,,4967-001,6/03/83,Muskoka,NEODF-Cat/NAPL,,,,333,6/03/83
327,Huntsville,HA406,24,"15,000",,,4967-001,8/27/09,Muskoka,Opta,,,,333,8/27/09
328,Mount Wolfe,A13118,55,"40,000",,,4528-003,5/11/51,Brampton,NEODF-Cat/NAPL,,,,334,5/11/51
329,Mount Wolfe,A24315,158,"50,000",,,4528-003,4/12/76,Brampton,NEODF-Cat/NAPL,,,,335,4/12/76
330,Mount Wolfe,A27547,14,"50,000",,,4528-003,4/08/90,Brampton,NEODF-Cat/NAPL,,,,336,4/08/90
331,Keene,A1055,42,"20,000",,,5027-001,10/29/05,Peterborough,NEODF-Cat/NAPL,,,,337,10/29/05
332,Keene,A16871,11,"30,000",,,5027-001,10/21/59,Peterborough,NEODF-Cat/NAPL,,,,338,10/21/59
333,Keene,A24864,20,"25,000",,,5027-001,5/25/78,Peterborough,NEODF-Cat/NAPL,,,,339,5/25/78
334,Bradford,A17864,126,"25,000",,,5126-001,11/18/62,Simcoe,NEODF-Cat/NAPL,,,,340,11/18/62
335,Bradford,A24287,61,"40,000",,,5126-001,10/28/75,Simcoe,NEODF-Cat/NAPL,,,,341,10/28/75
336,Bradford,A28173,99,"50,000",,,5126-001,4/15/95,Simcoe,NEODF-Cat/NAPL,,,,342,4/15/95
337,Mount Wolfe,A24315,200,"50,000",,,4528-003,4/12/76,Brampton,NEODF-Cat/NAPL,,,,343,4/12/76
338,Mount Wolfe,A24315,201,"50,000",,,4528-003,4/12/76,Brampton,NEODF-Cat/NAPL,,,,344,4/12/76
339,Eganville,A18073,29,"20,000",,,4678-001,6/17/63,Bonnechere Valley,NEODF-Cat/NAPL,,,,345,6/17/63
340,Eganville,A27136,162,"50,000",,,4678-001,6/20/87,Bonnechere Valley,NEODF-Cat/NAPL,,,,349,6/20/87
341,Orillia,A9190,19,"20,000",,,5171-001,9/06/45,Simcoe,NEODF-Cat/NAPL,,,,350,9/06/45
342,Orillia,A19916,57,"20,000",,,5171-001,5/26/67,Simcoe,NEODF-Cat/NAPL,,,,351,5/26/67
343,Orillia,A27221,63,"50,000",,,5171-001,9/26/87,Simcoe,NEODF-Cat/NAPL,,,,352,9/26/87
344,Orillia,A3245,91,"15,000",,,5171-001,4/14/31,Simcoe,NEODF-Cat/NAPL,,,,353,4/14/31
345,Lindsay,A18786,149,"25,000",,,5245-001,6/04/65,City of Kawartha Lakes,NEODF-Cat/NAPL,,,,354,6/04/65
346,Whitby,RA32,15,"15,000",,,5236-001,8/27/09,Durham,NEODF-Cat/NAPL,,,,355,8/27/09
347,Whitby,A13997,110,"20,000",,,5236-001,5/24/54,Durham,NEODF-Cat/NAPL,,,,356,5/24/54
348,Whitby,A26197,47,"5,000",,,5236-001,11/16/82,Durham,NEODF-Cat/NAPL,,,,357,11/16/82
349,Enniskillen,RA40,73,"15,000",,,5257-001,9/16/27,Durham,NEODF-Cat/NAPL,,,,358,9/16/27
350,Enniskillen,A18588,146,"20,000",,,5257-001,8/05/64,Durham,NEODF-Cat/NAPL,,,,359,8/05/64
351,Burlington,A4815,83,"20,000",,,5475-001,9/28/34,Halton,NEODF-Cat/NAPL,,,,360,9/28/34
352,Burlington,A18950,28,"20,000",,,5475-001,7/26/65,Halton,NEODF-Cat/NAPL,,,,361,7/26/65
353,Burlington,A26888,94,"25,000",,,5475-001,4/26/86,Halton,NEODF-Cat/NAPL,,,,362,4/26/86
354,Trenton,A1706,10,"15,000",,,5251-001,12/29/09,Quinte West,NEODF-Cat/NAPL,,,,363,12/29/09
355,Trenton,A1706,9,"15,000",,,5251-001,12/29/09,Quinte West,NEODF-Cat/NAPL,,,,364,12/29/09
356,Sarnia,A23671,142,"10,000",,,5500-001,4/24/74,Lambton County,NEODF-Cat/NAPL,,,,365,4/24/74
357,Sarnia,A27597,51,"6,000",,,5500-001,6/25/90,Lambton County,NEODF-Cat/NAPL,,,,366,6/25/90
358,Rice Lake,A18755,65,"20,000",,,5259-001,4/29/64,Peterborough,NEODF-Cat/NAPL,,,,367,4/29/64
359,Oshawa,A27302,53,"50,000",,,5529-001,6/18/88,Durham,NEODF-Cat/NAPL,,,,368,6/18/88
360,Prince Edward County,A2104,90,"20,000",,,5610-001,4/20/30,Prince Edward County,NEODF-Cat/NAPL,,,,369,4/20/30
361,Prince Edward County,A13254,45,"20,000",,,5610-001,5/10/51,Prince Edward County,NEODF-Cat/NAPL,,,,370,5/10/51
362,Prince Edward County,A23818,37,"25,000",,,5610-001,7/28/74,Prince Edward County,NEODF-Cat/NAPL,,,,371,7/28/74
363,Little Britain,RA42,34,"15,000",,,5635-001,9/16/27,City of Kawartha Lakes,NEODF-Cat/NAPL,,,,372,9/16/27
364,Little Britain,RA50,55,"15,000",,,5635-001,10/25/27,City of Kawartha Lakes,NEODF-Cat/NAPL,,,,373,10/25/27
365,Little Britain,A16871,78,"30,000",,,5635-001,10/21/59,City of Kawartha Lakes,NEODF-Cat/NAPL,,,,374,10/21/59
366,Little Britain,A16868,149,"30,000",,,5635-001,10/21/59,City of Kawartha Lakes,NEODF-Cat/NAPL,,,,375,10/21/59
367,Warsaw,A1111,17,"20,000",,,5688-001,5/20/29,County of Peterborough,NEODF-Cat/NAPL,,,,376,5/20/29
368,Warsaw,A16839,7,"30,000",,,5688-001,9/25/59,County of Peterborough,NEODF-Cat/NAPL,,,,377,9/25/59
369,Warsaw,A27087,111,"50,000",,,5688-001,5/08/87,County of Peterborough,NEODF-Cat/NAPL,,,,378,5/08/87
370,Huntsville,HA347,24,"15,000",,,5661-001,1/27/01,Muskoka,OPTA,,,,379,1/27/01
371,Barrys Bay,A9698,27,"15,000",,,5599-001,1/01/46,Renfrew County,OPTA,,,,380,1/01/46
372,Barrys Bay,A17778,102,"20,000",,,5599-001,1/01/62,Renfrew County,OPTA,,,,381,1/01/62
373,Barrys Bay,A27999,14,"50,000",,,5599-001,1/01/93,Renfrew County,OPTA,,,,382,1/01/93
374,Toronto,A13556,186,"15,000",,,5710-001,1/01/52,Toronto,OPTA,,,,383,1/01/52
375,Toronto,A21722,70,"20,000",,,5710-001,1/01/70,Toronto,OPTA,,,,384,1/01/70
376,Toronto,A27212,40,"20,000",,,5710-001,1/01/87,Toronto,OPTA,,,,385,1/01/87
377,Toronto,,,,,,5860-001,1/01/92,Toronto,City of Toronto Archives,,,,386,1/01/92
378,Toronto,,,,,,5860-001,1/01/73,Toronto,City of Toronto Archives,,,,387,1/01/73
379,Toronto,,,,,,5860-001,1/01/47,Toronto,City of Toronto Archives,,,,388,1/01/47
380,Toronto,,,,,,5713-001,1/01/47,Toronto,City of Toronto Archives,,,,389,1/01/47
381,Toronto,,,,,,5713-001,1/01/57,Toronto,City of Toronto Archives,,,,390,1/01/57
382,Toronto,,,,,,5713-001,1/01/70,Toronto,City of Toronto Archives,,,,391,1/01/70
383,Toronto,,,,,,5713-001,1/01/92,Toronto,City of Toronto Archives,,,,392,1/01/92
384,Stouffville,A10103,53,"20,000",,,5963-001,7/03/46,Toronto,NEODF-Cat/NAPL,,,,393,7/03/46
385,Marmora,A11689,238,"25,000",,,6057-001,9/25/48,Peterborough County,NEODF-Cat/NAPL,,,,394,9/25/48
386,Marmora,A23663,7,"35,000",,,6057-001,4/18/74,Peterborough County,NEODF-Cat/NAPL,,,,395,4/18/74
387,Marmora,A28173,169,"50,000",,,6057-001,4/15/95,Peterborough County,NEODF-Cat/NAPL,,,,396,4/15/95
388,Oshawa,RA48,5,"15,000",,,5960-001,10/23/27,Durham,NEODF-Cat/NAPL,,,,397,10/23/27
389,Oshawa,A18587,72,"20,000",,,5960-001,8/06/64,Durham,NEODF-Cat/NAPL,,,,398,8/06/64
390,Marmora,A2024,13,"15,000",,,6035-001,10/28/29,Peterborough County,NEODF-Cat/NAPL,,,,399,10/28/29
391,Marmora,A11689,195,"25,000",,,6035-001,9/25/48,Peterborough County,NEODF-Cat/NAPL,,,,400,9/25/48
392,Marmora,A23663,6,"35,000",,,6035-001,4/18/74,Peterborough County,NEODF-Cat/NAPL,,,,401,4/18/74
393,Brechin,A19541,213,"35,000",,,6102-001,7/02/66,Simcoe,ERIS,,,,402,7/02/66
394,Brechin,A9188,103,"20,000",,,6102-001,9/05/45,Simoce,NEODF-Cat/NAPL,,,,403,9/05/45
395,Cobourg,A11052,7,"20,000",,,6142-001,10/29/05,Northumberland County,NEODF-Cat/NAPL,,,,404,10/29/05
396,Cobourg,A13111,67,"20,000",,,6142-002,4/27/51,Northumberland County,NEODF-Cat/NAPL,,,,405,4/27/51
397,Cobourg,A18742,92,"20,000",,,6142-003,4/29/65,Northumberland County,NEODF-Cat/NAPL,,,,406,4/29/65
398,Cobourg,A23979,143,"25,000",,,6142-004,5/07/75,Northumberland County,NEODF-Cat/NAPL,,,,407,5/07/75
399,Oshawa,3365157,,,,,6191-001,1/01/54,Oshawa,UOT/Library Catalog,,,,409,1/01/54
400,Oro-Medonte,A19916,39,"20,000",,,5789-002,5/26/67,Simcoe,NEODF-Cat/NAPL,,,,410,5/26/67
401,Oshawa,RA33,68,"15,000",,,5708-003,9/27/08,Oshawa,NEODF-Cat/NAPL,,,,411,9/27/08
402,Trenton,A11689,221,"25,000",,,6413-001,9/25/48,Quinte West,NEODF-Cat/NAPL,,,,412,9/25/48
403,Trenton,A23662,3,"35,000",,,6413-001,4/19/74,Quinte West,NEODF-Cat/NAPL,,,,413,4/19/74
404,Belleville,A18095,40,"15,000",,,6350-001,6/30/63,Quinte West,NEODF-Cat/NAPL,,,,414,6/30/63
405,Belleville,A25661,50,"25,000",,,6350-001,4/10/81,Quinte West,NEODF-Cat/NAPL,,,,415,4/10/81
406,Belleville,A17772,45,"15,000",,,6350-001,8/03/62,Quinte West,NEODF-Cat/NAPL,,,,416,8/03/62
407,Belleville,A17772,46,"15,000",,,6350-001,8/03/62,Quinte West,NEODF-Cat/NAPL,,,,417,8/03/62
408,Cavan-Monaghan,A142,32,"20,000",,,6532-001,6/19/28,Peterborugh County,NEODF-Cat/NAPL,,,,418,6/19/28
409,Innisfil,A10079,37,"20,000",,,6581-001,6/27/46,Simcoe County,NEODF-Cat/NAPL,,,,419,6/27/46
410,Newmarket,RA18,8,"15,000",,,5439-001,7/21/27,Quinte West,NEODF-Cat/NAPL,,,,420,7/21/27
411,Newmarket,RA18,10,"15,000",,,5439-001,7/21/27,Quinte West,NEODF-Cat/NAPL,,,,421,7/21/27
412,Bowmanville,A23664,127,"25,000",,,6752-001,4/19/74,Clarington,NEODF-Cat/NAPL,,,,422,4/19/74
413,Lindsay,RA53,51,"15,000",,,6424-002,10/28/27,Kawartha Lakes,NEODF-Cat/NAPL,,,,423,10/28/27
414,Lindsay,A108,75,"20,000",,,6424-002,6/15/28,Kawartha Lakes,NEODF-Cat/NAPL,,,,424,6/15/28
415,Lindsay,A108,77,"20,000",,,6424-002,6/15/28,Kawartha Lakes,NEODF-Cat/NAPL,,,,425,6/15/28
416,Picton,A1717,75,"15,000",,,6824-001,9/16/29,Prince Edward County,NEODF-Cat/NAPL,,,,426,9/16/29
417,Picton,A17793,182,"15,000",,,6824-001,8/08/62,Prince Edward County,NEODF-Cat/NAPL,,,,427,8/08/62
418,Picton,A23817,68,"25,000",,,6824-001,7/25/74,Prince Edward County,NEODF-Cat/NAPL,,,,428,7/25/74
419,Consecon,A1956,21,"15,000",,,6855-001,10/15/29,Prince Edward County,NEODF-Cat/NAPL,,,,429,10/15/29
420,Consecon,A27007,86,"9,000",,,6855-001,8/31/86,Prince Edward County,NEODF-Cat/NAPL,,,,430,8/31/86
421,Cobourg,A1052,75,"20,000",,,6918-001,10/29/05,Northumberland County,NEODF-Cat/NAPL,,,,431,10/29/05
422,Cobourg,A27302,38,"50,000",,,6918-001,6/18/88,Northumberland County,NEODF-Cat/NAPL,,,,432,6/18/88
423,Iroquois Falls,A13357,57,"40,000",,,6762-001,8/15/51,Cochrane,OPTA,,,,433,8/15/51
424,Iroquois Falls,A22552,47,"50,000",,,6762-001,9/01/71,Cochrane,OPTA,,,,434,9/01/71
425,Port Perry,RA33,53,"15,000",,,6954-001,8/27/09,Durham,NEODF-Cat/NAPL,,,,435,8/27/09
426,Port Perry,A18859,13,"25,000",,,6954-001,7/01/65,Durham,NEODF-Cat/NAPL,,,,439,7/01/65
427,Port Perry,A23679,13,"25,000",,,6954-001,5/04/74,Durham,NEODF-Cat/NAPL,,,,440,5/04/74
428,Port Perry,A28173,129,"50,000",,,6954-001,4/15/95,Durham,NEODF-Cat/NAPL,,,,441,4/15/95
429,Cobourg,A211,68,"20,000",,,7033-001,7/28/07,Northumberland County,NEODF-Cat/NAPL,,,,442,7/28/07
430,Cobourg,A13111,264,"20,000",,,7033-001,4/27/51,Northumberland County,NEODF-Cat/NAPL,,,,443,4/27/51
431,Cobourg,A18742,56,"15,000",,,7033-001,4/29/65,Northumberland County,NEODF-Cat/NAPL,,,,444,4/29/65
432,Cobourg,A24833,43,"25,000",,,7033-001,4/25/78,Northumberland County,NEODF-Cat/NAPL,,,,445,4/25/78
433,Harcourt,A4845,77,"15,000",,,6811-001,10/09/34,Haliburton,NEODF-Cat/NAPL,,,,446,10/09/34
434,Harcourt,A18254,49,"20,000",,,6811-001,10/28/63,Haliburton,NEODF-Cat/NAPL,,,,447,10/28/63
435,Peterborough,A1051,32,"20,000",,,6346-001,10/29/05,Peterborough,NEODF-Cat/NAPL,,,,448,10/29/05
436,Cobourg,A13111,156,"20,000",,,7041-001,4/27/51,Northumberland County,NEODF-Cat/NAPL,,,,449,4/27/51
437,Cobourg,A18742,54,"20,000",,,7041-001,4/29/65,Northumberland County,NEODF-Cat/NAPL,,,,450,4/29/65
438,Cobourg,A24833,45,"25,000",,,7041-001,4/25/78,Northumberland County,NEODF-Cat/NAPL,,,,451,4/25/78
439,Wellington,A1704,62,"15,000",,,7139-001,12/29/09,Prince Edward County,NEODF-Cat/NAPL,,,,452,12/29/09
440,Wellington,A17835,29,"15,000",,,7139-001,8/01/62,Prince Edward County,NEODF-Cat/NAPL,,,,453,8/01/62
441,Wellington,A26990,90,"9,000",,,7139-001,8/13/86,Prince Edward County,NEODF-Cat/NAPL,,,,454,8/13/86
442,Hamilton,A17288,55,"25,000",,,7316-001,4/19/61,Hamilton,NEODF-Cat/NAPL,,,,455,4/19/61
443,Hamilton,A25284,104,"25,000",,,7316-001,7/06/79,Hamilton,NEODF-Cat/NAPL,,,,456,7/06/79
444,Hamilton,A27411,34,"9,000",,,7316-001,4/22/89,Hamilton,NEODF-Cat/NAPL,,,,457,4/22/89
445,Barrie,A10080,31,"20,000",,,7335-001,6/27/46,Simcoe County,OPTA,,,,460,6/27/46
446,Barrie,A19916,79,"20,000",,,7335-001,5/26/67,Simcoe County,OPTA,,,,461,5/26/67
447,Barrie,A26648,75,,,,7335-001,4/29/85,Simcoe County,OPTA,,,,462,4/29/85
448,Cobourg,A16867,121,"30,000",,,7405-001,10/21/59,Northumberland County,NEODF-Cat/NAPL,,,,463,10/21/59
449,Picton,A1717,77,"15,000",,,6563-002,9/16/29,Prince Edward County,NEODF-Cat/NAPL,,,,464,9/16/29
450,Picton,A26998,133,"9,000",,,6563-002,8/22/86,Prince Edward County,NEODF-Cat/NAPL,,,,466,8/22/86
451,Stouffville,A10742,96,"20,000",,,7030-001,10/27/46,York Region,NEODF-Cat/NAPL,,,,468,10/27/46
452,Stouffville,A16998,64,"25,000",,,7030-001,4/29/60,York Region,NEODF-Cat/NAPL,,,,469,4/29/60
453,Stouffville,A24833,3,"25,000",,,7030-001,4/25/78,York Region,NEODF-Cat/NAPL,,,,470,4/25/78
454,Stouffville,A28173,138,"50,000",,,7030-001,4/15/95,York Region,NEODF-Cat/NAPL,,,,471,4/15/95
455,Prince Edward,A17835,58,"15,000",,,7377-001,8/01/62,Prince Edward County,NEODF-Cat/NAPL,,,,472,8/01/62
456,Prince Edward,A27409,94,"9,000",,,7377-002,4/26/89,Prince Edward County,NEODF-Cat/NAPL,,,,473,4/26/89
457,Prince Edward,A27409,94,"9,000",,,7377-002,4/26/89,Prince Edward County,NEODF-Cat/NAPL,,,,474,4/26/89
458,Concord,A10107,79,"20,000",,,7316-002,7/02/46,York Region,NEODF-Cat/NAPL,,,,475,7/02/46
459,Concord,A16998,57,"25,000",,,7316-002,4/29/60,York Region,NEODF-Cat/NAPL,,,,476,4/29/60
