x,Location,Roll_No,Photo_No,Scale,Latitude,Longitude,Proj_No,Photo_Date,County,Obtained_from_Where,,,,mxd,Photo_Year
56,Red Rock WDS,20,94,"15,000",45.67359,-77.52705,0,1/01/87,Renfrew,,,,,60,1/01/87
57,Red Rock WDS,20,95,"15,000",45.67396,-77.50551,0,1/01/87,Renfrew,,,,,61,1/01/87
58,Norwood,1,194,"10,000",44.39938,-77.97518,10086-010,1/01/78,Peterborough,,,,,62,1/01/78
59,Norwood,1,195,"10,000",44.40025,-77.96278,10086-010,1/01/78,Peterborough,,,,,63,1/01/78
60,Norwood,1,196,"10,000",44.3994,-77.95143,10086-010,1/01/78,Peterborough,,,,,64,1/01/78
61,Norwood,1,403,"10,000",44.38301,-77.97533,10086-010,1/01/78,Peterborough,,,,,65,1/01/78
62,Norwood,1,404,"10,000",44.38337,-77.96372,10086-010,1/01/78,Peterborough,,,,,66,1/01/78
63,Norwood,1,405,"10,000",44.38419,-77.95301,10086-010,1/01/78,Peterborough,,,,,67,1/01/78
64,Peterborough,6,173,"15,000",44.26795,-78.36877,10105-001,1/01/54,Peterborough,,,,,68,1/01/54
65,Peterborough,52,463,"10,000",44.26817,-78.38162,10105-001,1/01/78,Peterborough,,,,,69,1/01/78
66,Stafford Twp,A12546,407,"15,000",45.79528,-77.12028,7777-563,6/09/50,Renfrew,,,,,70,6/09/50
67,Maple Lake WDS,A27985,46,"50,000",45.0999,-78.70197,0,10/25/93,Haliburton,,,,,71,10/25/93
68,Port Hope,20,38,"15,840",43.96111,-78.28187,100115,1/01/54,Northumberland,,,,,72,1/01/54
69,Stafford Twp,A21469,103,"35,000",45.80028,-77.13806,7777-563,6/12/70,Renfrew,,,,,73,6/12/70
70,Pembroke,A28363,24,"50,000",45.80529,-77.10555,0,10/30/98,Renfrew,,,,,74,10/30/98
71,Port Hope; Northumberland,48,210,"10,000",43.9618,-78.27813,100115,1/01/78,Northumberland,,,,,75,1/01/78
72,Peterborough,8,97,0,44.28092,-78.31041,10523-001,1/01/71,Peterborough,,,,,76,1/01/71
73,Peterborough,8,95,"17,000",44.28527,-78.34723,10333-001,1/01/71,Peterborough,,,,,77,1/01/71
74,Peterborough,6,77,0,44.28971,-78.30723,10523-001,5/07/54,Peterborough,,,,,78,5/07/54
75,Peterborough,7,73,0,44.28212,-78.30501,10523-001,1/01/78,Peterborough,,,,,79,1/01/78
76,Peterborough,7,68,"15,000",44.2837,-78.35791,10333-001,1/01/78,Peterborough,,,,,80,1/01/78
77,Otonabee Twp,A23979,20,"25,000",44.28833,-78.2475,0,5/07/75,Peterborough,,,,,81,5/07/75
78,Otonabee Twp,A27597,95,"20,000",44.30583,-78.2725,0,6/28/90,Peterborough,,,,,82,6/28/90
79,Cavan Twp,10,104,"15,000",44.16664,-78.37101,10007,1/01/71,Peterborough,,,,,83,1/01/71
80,Cavan Twp,9,221,"15,000",44.1567,-78.36474,10007,1/01/54,Peterborough,,,,,84,1/01/54
81,Cavan Twp;,67,131,"10,000",44.15152,-78.36259,10007,1/01/78,Peterborough,,,,,85,1/01/78
82,Hawk Lake WDS,A27985,47,"50,000",45.1018,-78.76248,0,10/25/93,Haliburton,,,,,86,10/25/93
83,Scotch Line WDS,CAS05073,8,"8,000",44.95462,-78.71472,10417-023,11/23/05,Haliburton,,,,,87,11/23/05
84,Scotch Line WDS,CAS05073,9,"8,000",44.95324,-78.72241,10417-023,11/23/05,Haliburton,,,,,88,11/23/05
85,Scotch Line WDS,CAS05073,10,"8,000",44.94989,-78.73138,10417-023,11/23/05,Haliburton,,,,,89,11/23/05
86,Scotch Line WDS,CAS05073,11,"8,000",44.94781,-78.74042,10417-023,11/23/05,Haliburton,,,,,90,11/23/05
87,Scotch Line WDS; Haliburto,CAS05073,12,"8,000",44.94388,-78.74541,10417-023,11/23/05,Haliburton,,,,,91,11/23/05
88,Irondale WDS,17,95,"17,250",44.86826,-78.54657,0,1/01/87,Haliburton,,,,,92,1/01/87
89,Trenton,A17772,14,"15,000",44.13229,-77.57276,07-1213-001,1/01/62,Hastings,,,,,93,1/01/62
90,Trenton,A27609,205,"20,000",44.1317,-77.54944,07-1213-001,1/01/90,Hastings,,,,,94,1/01/90
91,Trenton,A3289,2,"10,000",44.13834,-77.57459,07-1213-001,1/31/01,Hastings,,,,,95,1/31/01
92,Pine Springs WDS; Haliburton,A27985,49,"50,000",45.095,-78.88121,0,10/25/93,Haliburton,,,,,96,10/25/93
93,Pine Springs WDS; Haliburton,A27985,48,"50,000",45.09751,-78.81934,0,10/25/93,Haliburton,,,,,97,10/25/93
94,Maple Lake WDS; Haliburton,A27985,45,"50,000",45.10191,-78.64151,0,10/25/93,Haliburton,,,,,98,10/25/93
95,Madoc; Hastings,187,184,"10,750",44.53035,-77.49691,10361-001,1/01/78,Hastings,,,,,99,1/01/78
96,Madoc; Hastings,3,83,"15,900",44.52751,-77.50856,10361-001,1/01/48,Hastings,,,,,100,1/01/48
97,Falconhurst; Sudbury,92046,196,,46.57643,-80.79473,,1/01/59,Sudbury,,,,,101,1/01/59
98,Combermere; Renfrew,48,91,"15,000",45.35811,-77.60589,10273-005,1/01/87,Renfrew,,,,,102,1/01/87
99,Deep river; Renfrew,A13083,155,"20,000",46.17031,-77.61886,1344-001,10/31/50,Renfrew,,,,,103,10/31/50
100,Belleville,A28138,58,"5,000",44.17586,-77.39367,1396-001,9/19/94,Hastings,NAPL,,,,104,9/19/94
101,Belleville,VRR2668,489,"5,000",44.17906,-77.39522,1396-001,5/11/66,Hastings,NAPL,,,,105,5/11/66
102,Belleville,A2018,55,"15,000",44.1722,-77.39472,1396-001,10/28/29,Hastings,NAPL,,,,106,10/28/29
103,Trenton,A4407,34,"6,000",44.1167,-77.57464,1378-001,10/22/31,Hastings,NAPL,,,,107,10/22/31
104,Dysart (Harcourt); Haliburton,A4916,77,"15,000",45.19645,-78.14997,1410-001,5/25/35,Haliburton,NAPL,,,,108,5/25/35
105,Huntsville;,HA357,39,"15,000",45.31673,-79.23352,1412-001,8/27/07,Huntsville,NAPL,,,,109,8/27/07
106,Hunstville,,,"20,000",45.31673,-79.23352,1412-001,1/01/80,Hunstville,District of Muskoka,,,,110,1/01/80
107,Belleville,VRR2668,475,"5,000",44.16945,-77.39856,1434-001,5/11/66,Hastings,,,,,111,5/11/66
108,Peterborough,VRR2680,1780,"6,000",45.30989,-78.32253,1465-001,7/27/66,Peterborough,NAPL,,,,112,7/27/66
109,Peterborough,A13111,91,"20,000",44.30028,-78.31253,1474-001,4/27/51,Peterborough,NAPL,,,,113,4/27/51
110,Huntsville; Huntsville,,,,,,1513-002,1/01/76,Huntsville,District of Muskoka,,,,114,1/01/76
111,Huntsville; Huntsville,HA347,29,"15,000",45.32331,-79.20278,1513-002,6/30/27,Huntsville,NAPL,,,,115,6/30/27
112,Peterborough,VRR2680,1757,"6,000",44.30608,-78.33009,1538-001,6/27/66,Peterborough,,,,,116,6/27/66
113,Peterborough,A13111,128,"20,000",,,1538-001,4/27/51,Peterborough,NAPl,,,,117,4/27/51
114,Peterborough,VRR2680,1758,"6,000",,,1538-001,6/27/66,Peterborough,NAPL,,,,118,6/27/66
115,Port Hope,A24320,33,"5,000",43.94428,-78.3022,1561-001,4/13/76,Northumberland,NAPL,,,,119,4/13/76
116,Port Hope,A208,49,"20,000",43.95656,-78.29384,1561-001,06/07/1928,Northumberland,NAPL,,,,120,06/07/1928
117,Norwood; Peterborough,A1166,26,"20,000",44.37703,-77.97036,1578-001,5/31/29,Peterborough,NAPL,,,,121,5/31/29
118,Douro; Peterborough,A1076,23,"20,000",44.37492,-78.20906,1506-001,5/13/29,Peterborough,NAPL,,,,123,5/13/29
119,Mississauga,A12943,197,"12,000",43.62825,-79.68103,1623-001,9/07/50,Toronto,NAPL,,,,124,9/07/50
120,Sand Road WDS,R356,66,,693202,4908744,1292-009,1993,Bonnechere Valley,MNR,,,,125,1993
121,Belmont WDS; Havelock-Belmont-Methuen,A28176,256,"50,000",,,1532-001,4/24/95,Havelock-Belmont-Methuen,NRCAN,,,,126,4/24/95
122,West Kosh; Havelock-Belmont-Methuen,A28175,135,"50,000",,,1532-002,4/24/95,Havelock-Belmont-Methuen,NRCAN,,,,127,4/24/95
123,Oak Lake; Havelock-Belmont-Methuen,A28175,55,"50,000",,,1532-003,4/24/95,Havelock-Belmont-Methuen,NRCAN,,,,128,4/24/95
124,Ashodel; Peterborough,A28176,274,"50,000",,,,4/24/95,Peterborough,MNR,,,,130,4/24/95
125,Norwood; Peterborough,A28176,252,"50,000",,,,4/24/95,Peterborough,MNR,,,,131,4/24/95
126,Belmont WDS; Havelock-Belmont-Methuen,,,,,,1532-001,2002,Havelock-Belmont-Methuen,PTBO GIS,,,,132,2002
127,West Kosh; Havelock-Belmont-Methuen,,,,,,1532-002,2002,Havelock-Belmont-Methuen,PTBO GIS,,,,133,2002
128,Oak Lake; Havelock-Belmont-Methuen,,,,,,1532-003,2002,Havelock-Belmont-Methuen,PTBO GIS,,,,134,2002
129,Ruby Road; Bonnechere Valley,,,,,,1292-008,1997,Bonnechere Valley,First Base Solutions,,,,135,1997
130,Smith WDS; Peterborough,,,,,,1505-001,2002,Peterborough,PTBO GIS,,,,136,2002
131,Ennismore WDS; Peterborough,,,,,,1505-002,2002,Peterborough,PTBO GIS,,,,137,2002
132,Little Gull WDS; Minden Hills,,,,,,1452-004,,Minden Hills,Google Earth 2010,,,,138,
133,Steeles WDS; Minden Hills,,,,,,1452-008,,Minden Hills,Google Earth 2010,,,,139,
134,Iron Mine WDS; Minden Hills,,,,,,1452-005,,Minden Hills,Google Earth 2010,,,,140,
135,Monmounth; Highlands East,,,"50,000",,,1264-001,1995,Highlands East,NAPL,,,,141,1995
136,Frankford; City of Quinte West,,,,,,1451-001,2006?,City of Quinte West,LIO,,,,142,2006?
137,SGS Brunel Road,A12943,197,"12,000",43.62825,-79.68103,1623-001,9/07/50,Toronto,NAPL,,,,143,9/07/50
138,HWY 7 East,A1053,50,"20,000",44.29372,-78.27231,1654-001,10/29/05,Peterborough,NAPL,,,,144,10/29/05
139,Tweed/Actinolite,A5946,60,"20,000",44.54481,-77.31753,1659-001,5/29/38,Hastings,NAPL,,,,145,5/29/38
140,Tweed/Actinolite,A17848,146,"15,000",44.55183,-77.31575,1659-001,9/16/62,Hastings,NAPL,,,,146,9/16/62
141,Peterborough,A1051,41,"20,000",44.30114,-78.31497,,5/29/10,Peterborough,NAPL,,,,147,5/29/10
142,Englehart,R259,50,,,,1772-001,1984,Timiskaming,MNR,,,,148,1984
143,Englehart,R16,110,,,,1772-001,1986,Timiskaming,MNR,,,,149,1986
144,Englehart,R16,203,,,,1772-001,1986,Timiskaming,MNR,,,,150,1986
145,Bainsville,A28051,5,"50,000",45.23897,-74.47136,1789-001,5/04/94,Stormont Glengarry Dundas,NAPL,,,,151,5/04/94
146,Bainsville,A10371,311,"15,000",45.22303,-74.43728,1789-001,8/18/46,Stormont Glengarry Dundas,NAPL,,,,152,8/18/46
147,Snowball,RA17,32,"15,000",43.99283,-79.49822,1758-001,7/21/27,York,NAPL,,,,153,7/21/27
148,Snowball,A23664,41,"25,000",43.9897,-79.53722,1758-001,4/19/74,York,NAPL,,,,154,4/19/74
149,Norland- hwy35; Minden Hills,A4810,38,"15,000",44.77611,-78.81909,1871-001,9/28/34,Haliburton,NAPL,,,,155,9/28/34
150,Norland- hwy35; Minden Hills,A18800,83,"20,000",44.773,-78.8167,1871-001,5/14/65,Haliburton,NAPL,,,,156,5/14/65
151,Campbellford,L23,1647,"10,000",,,1875-001,2004-02-10,Northumberland,Hastings County,,,,157,2004-02-10
152,Campbellford,10,442,,,,1875-001,1978,Northumberland,MNR,,,,158,1978
153,Frankford,A2025,36,"15,000",44.21106,-77.59434,1974-001,10/28/29,Hastings,NAPL,,,,159,10/28/29
154,Frankford,A17772,69,"15,000",44.20947,-77.5942,1974-001,8/03/62,Hastings,NAPL,,,,160,8/03/62
155,Belleville,A18095,40,"15,000",,,,6/30/63,Hastings,NAPL,,,,161,6/30/63
156,Belleville,VRR2668,473,,44.1725,-77.38833,1934-001,5/11/66,Hastings,NAPL,,,,162,5/11/66
157,Cochrane; Cochrane,A13396,83,"70,000",49.06678,-81.0065,1939-002,7/16/52,Cochrane,NAPL,,,,163,7/16/52
158,Lakefield,A1075,51,"20,000",44.42861,-78.25784,2050-001,5/13/29,Peterborough,NAPL,,,,164,5/13/29
159,Lakefield,A1075,51,"20,000",44.42861,-78.25784,2050-001,5/13/29,Peterborough,NAPL,,,,165,5/13/29
160,Lakefield,A18797,103,"20,000",44.43906,-78.27884,2050-001,5/14/65,Peterborough,NAPL,,,,166,5/14/65
161,Lakefield,A24864,1,"25,000",44.41267,-78.2882,2050-001,5/25/78,Peterborough,NAPL,,,,167,5/25/78
162,Bowmanville,A26996,29,,,,2145-001,8/20/86,Durham,NAPL,,,,168,8/20/86
163,Bowmanville,RA42,91,,,,2145-001,1929,Durham,NAPL,,,,169,1929
164,Cavan,A208,82,"20,000",,,2041-001,1928,Peterborough,NAPL,,,,170,1928
165,Cavan,A27508,58,"12,000",,,2041-001,1989,Peterborough,NAPL,,,,171,1989
166,Trenton,A17772,13,"15,000",44.134334,-77.553474,2176-001,8/03/62,Hastings,NAPL,,,,172,8/03/62
167,Trenton,A27984,123,"9,000",44.125251,-77.562752,2176-001,10/30/93,Hastings,NAPL,,,,173,10/30/93
168,Trenton,4405,35,"15,840",,,2152-001,1953,Hastings,MNR,,,,174,1953
169,Trenton,4404,29,"15,840",,,2152-002,1971,Hastings,MNR,,,,175,1971
170,Trenton,4407,34,"10,000",,,2152-003,1978,Hastings,MNR,,,,176,1978
171,Peterborough,A16871,92,"30,000",,,2225-001,1959,Peterborough,NAPL,,,,177,1959
172,Peterborough,A24864,32,"25,000",,,2225-001,1978,Peterborough,NAPL,,,,178,1978
173,Newcastle,A18587,36,"20,000",43.908918,-78.575252,2265-001,1964,Durham,NAPL,,,,179,1964
174,Newcastle,RA52,3,"15,000",43.92239,-78.573391,2265-001,1927,Durham,NAPL,,,,180,1927
175,Oshawa,A23679,77,"25,000",43.913529,-78.87803,2373-001,5/04/74,Durham,NAPL,,,,181,5/04/74
176,Oshawa,A13997,119,"20,000",43.939862,-78.870002,2373-001,5/24/54,Durham,NAPL,,,,182,5/24/54
177,Peterborough,A1051,40,"20,000",44.293279,-78.310502,2394-001,10/29/05,Peterborough,NAPL,,,,183,10/29/05
178,Peterborough,A23464,17,"25,000",44.309723,-78.311585,2394-001,7/30/73,Peterborough,NAPL,,,,184,7/30/73
179,Campbellford,A18757,42,"10,000",44.309556,-77.799083,2411-001,4/29/65,Northumberland,NAPL,,,,185,4/29/65
180,Campbellford,A28178,81,"50,000",44.298973,-77.811391,2411-001,4/24/95,Northumberland,NAPL,,,,186,4/24/95
181,Aurora,A16998,22,"25,000",43.982608,-79.460302,2427-001,4/29/60,York Region,NAPL,,,,187,4/29/60
